metric,subtype,rho_mean,rho_sd,valid_pairs_mean,omitted_pairs_mean,n_runs
hamming_ha,H1N1,0.8280156332049321,0.0010822611171559169,199914.33333333334,85.66666666666667,3
hamming_ha,H3N2,0.6081682079220184,0.0006412968546132165,199988.66666666666,11.333333333333334,3
hamming_ha_na,H1N1,0.8537804922836947,0.0007202431218106303,199903.0,97.0,3
hamming_ha_na,H3N2,0.6677909555897313,0.001661629990917984,199537.66666666666,462.3333333333333,3
temporal,H1N1,0.06117937914963284,0.001080895044009855,200000.0,0.0,3
temporal,H3N2,0.15397261168018747,0.0009366835297727553,200000.0,0.0,3
