row_type,tokenizer,time_window,protein_subtype,comparison,n_sequences,mean_token_entropy_bits,mean_effective_vocab_size,mean_cpg_token_fraction,mean_upa_token_fraction,js_distance
group_metric,cds_codon,2009-2014,HA-H1N1,,985.0,5.57565081613086,47.691771001693425,0.019174815156832985,0.13304290911537392,
group_metric,cds_codon,2009-2014,HA-H3N2,,676.0,5.633808201116402,49.65402105267216,0.02737070023580614,0.09331613223474984,
group_metric,cds_codon,2009-2014,NA-H1N1,,1053.0,5.60621788014733,48.71323102777284,0.02062441885518587,0.11088191984570199,
group_metric,cds_codon,2009-2014,NA-H3N2,,791.0,5.66519948766945,50.74591615344272,0.02492783217598845,0.09419457860342403,
group_metric,cds_codon,2015-2019,HA-H1N1,,749.0,5.566234682878012,47.38153244184409,0.018190038216740485,0.12409726784448635,
group_metric,cds_codon,2015-2019,HA-H3N2,,507.0,5.64009580323074,49.87027430339485,0.02650138482951166,0.09841577986826527,
group_metric,cds_codon,2015-2019,NA-H1N1,,809.0,5.602916265903936,48.601576786890085,0.020999884898869742,0.1103336168799847,
group_metric,cds_codon,2015-2019,NA-H3N2,,597.0,5.6562432988871505,50.43164540969617,0.025452813631239093,0.09141906353357244,
group_metric,cds_codon,2020+,HA-H1N1,,379.0,5.573590419820838,47.623674503628465,0.018306355832349464,0.12057815439344964,
group_metric,cds_codon,2020+,HA-H3N2,,279.0,5.637880261666318,49.79414371081285,0.028566193390263256,0.09419448680222402,
group_metric,cds_codon,2020+,NA-H1N1,,406.0,5.595902342468622,48.365752914662636,0.020339967512456585,0.10553068326609563,
group_metric,cds_codon,2020+,NA-H3N2,,288.0,5.656316044660217,50.4341039954356,0.025479105311135158,0.09061344888207717,
group_metric,cds_codon,pre-2009,HA-H1N1,,235.0,5.60575068163622,48.6972390175101,0.01035936749792851,0.1243612585917676,
group_metric,cds_codon,pre-2009,HA-H3N2,,526.0,5.6443688498434215,50.01964967422857,0.0283208318618142,0.09120177599634835,
