representation,source,n_sequences,n_features,nnz,sparsity,pca_explained_variance_pc1,pca_explained_variance_pc2,pca_explained_variance_total_2pc,umap_method
kmer3_freq,raw_nucleotide,20000,64,1279894,8.281249999997353e-05,0.46205997467041016,0.2129507064819336,0.6750106811523438,
kmer4_freq,raw_nucleotide,20000,256,4871551,0.04852519531249999,0.3504599928855896,0.23232527077198029,0.5827852636575699,
kmer5_freq,raw_nucleotide,20000,1024,13918094,0.32040556640624995,0.27794262766838074,0.2563720643520355,0.5343146920204163,
kmer3_tfidf,raw_nucleotide,20000,64,1279894,8.281249999997353e-05,0.45699650049209595,0.2175561487674713,0.6745526492595673,
kmer4_tfidf,raw_nucleotide,20000,256,4871551,0.04852519531249999,0.3478378355503082,0.2421054095029831,0.5899432450532913,pca_fallback_for_umap
codon_freq,cds_refined,8974,64,531774,0.07410644640071318,0.4772614538669586,0.20529764890670776,0.6825591027736664,
rscu,cds_refined,8974,61,522800,0.044964140485994175,0.46194273233413696,0.24437303841114044,0.7063157707452774,
