rank,tokenizer,mean_js_distance,js_ci_width,js_std,mean_top_token_jaccard,top_token_jaccard_ci_width,entropy_ci_width,n_sequences,score_js_distance,score_js_stability,score_top_token_stability,score_entropy_stability,score_coverage,robustness_score
1,raw_overlap_k3,0.1116528207079581,0.0029881066736159034,0.0007702446372282912,0.9273978919631093,0.1344814605684171,0.0008868791153824329,20000,0.0,0.1266423113175047,0.9928395076652499,1.0,1.0,0.6238963637965509
2,raw_overlap_k6,0.6887571982834608,0.001440746729606035,0.0004173391168211335,0.20345750231582266,0.20767374517374515,0.0020886350860118696,20000,0.7365080755660804,0.7815634940343972,0.0,0.5626756385397271,1.0,0.616149441628041
3,cds_frame_k6,0.895221116455347,0.0009246542461739393,0.00024141092579771568,0.3660734531748656,0.24143872326984278,0.0025708961715715795,8974,1.0,1.0,0.22301772756189223,0.3871786770483906,0.4487,0.6117792809220566
4,cds_nonoverlap_k3_offset2,0.21934197994821425,0.0026092467734613878,0.0007196882943423966,0.9039139845661583,0.15612648221343872,0.00142529967610594,8974,0.13743429873912816,0.28699503005869553,0.9606327798856258,0.8040663548422714,0.4487,0.5275656927051442
5,raw_nonoverlap_k6,0.7895835676392028,0.0016052887086960288,0.00040496763640765157,0.2372497382398089,0.14143931949612681,0.0036348531057099898,20000,0.8651839930361345,0.7119209858582196,0.04634396333933601,0.0,1.0,0.524689788446738
6,cds_nonoverlap_k3_offset0,0.21304950262843905,0.002777099121004406,0.0007656625583542784,0.9036514210427253,0.11067193675889328,0.001451845532640439,8974,0.12940375774617838,0.2159514061105372,0.9602726902386548,0.7944061991683327,0.4487,0.5097468106527405
7,cds_codon,0.21309715180697744,0.002942909305127722,0.0007894776827288164,0.9060351966873705,0.1344814605684171,0.0013863461897694052,8974,0.12946456824450633,0.1457721292635883,0.9635418912271051,0.8182417023796371,0.4487,0.5011440582229674
8,cds_nonoverlap_k3_offset1,0.210725914131014,0.00328732014375685,0.0008555669765519993,0.9326190476190476,0.1498917748917748,0.0013291575801575028,8974,0.1264383640338042,0.0,1.0,0.8390528926649883,0.4487,0.48283825133975855
