representation,group_a,group_b,distance
codon_freq,HA-H3N2,NA-H1N1,0.05802194974898022
codon_freq,HA-H3N2,NA-H3N2,0.058132356586190405
codon_freq,NA-H1N1,HA-H1N1,0.07004239050314817
codon_freq,NA-H1N1,HA-H3N2,0.05802194974898022
codon_freq,NA-H1N1,NA-H1N1,0.0
codon_freq,NA-H1N1,NA-H3N2,0.0493746212052338
codon_freq,NA-H3N2,HA-H1N1,0.06837713926584219
codon_freq,NA-H3N2,HA-H3N2,0.058132356586190405
codon_freq,NA-H3N2,NA-H1N1,0.0493746212052338
codon_freq,NA-H3N2,NA-H3N2,0.0
rscu,HA-H1N1,HA-H1N1,0.0
rscu,HA-H1N1,HA-H3N2,3.4830858239858307
rscu,HA-H1N1,NA-H1N1,3.5773271540796947
rscu,HA-H1N1,NA-H3N2,4.5826556959461024
rscu,HA-H3N2,HA-H1N1,3.4830858239858307
rscu,HA-H3N2,HA-H3N2,0.0
rscu,HA-H3N2,NA-H1N1,3.1930598413550975
rscu,HA-H3N2,NA-H3N2,3.214382629227242
rscu,NA-H1N1,HA-H1N1,3.5773271540796947
rscu,NA-H1N1,HA-H3N2,3.1930598413550975
rscu,NA-H1N1,NA-H1N1,0.0
rscu,NA-H1N1,NA-H3N2,3.4486973935375183
rscu,NA-H3N2,HA-H1N1,4.5826556959461024
rscu,NA-H3N2,HA-H3N2,3.214382629227242
rscu,NA-H3N2,NA-H1N1,3.4486973935375183
rscu,NA-H3N2,NA-H3N2,0.0
