panel,year,subtype,n_pairs
full_panel,2016,H3N2,3841
full_panel,2017,H1N1,2053
full_panel,2017,H3N2,7762
full_panel,2018,H1N1,5551
full_panel,2018,H3N2,5105
full_panel,2019,H1N1,7228
full_panel,2019,H3N2,9309
full_panel,2020,H1N1,3669
full_panel,2020,H3N2,1555
full_panel,2021,H1N1,526
full_panel,2021,H3N2,3273
full_panel,2022,H1N1,262
full_panel,2022,H3N2,1893
