tokenizer,group_a,group_b,js_distance
cds_nonoverlap_k3_offset1,NA-H3N2,NA-H1N1,0.19265258133359986
cds_nonoverlap_k3_offset1,NA-H3N2,NA-H3N2,0.0
cds_nonoverlap_k3_offset2,HA-H1N1,HA-H1N1,0.0
cds_nonoverlap_k3_offset2,HA-H1N1,HA-H3N2,0.1783310682326724
cds_nonoverlap_k3_offset2,HA-H1N1,NA-H1N1,0.2445284450555038
cds_nonoverlap_k3_offset2,HA-H1N1,NA-H3N2,0.25065574212963265
cds_nonoverlap_k3_offset2,HA-H3N2,HA-H1N1,0.1783310682326724
cds_nonoverlap_k3_offset2,HA-H3N2,HA-H3N2,0.0
cds_nonoverlap_k3_offset2,HA-H3N2,NA-H1N1,0.20674198183709042
cds_nonoverlap_k3_offset2,HA-H3N2,NA-H3N2,0.23516214837798727
cds_nonoverlap_k3_offset2,NA-H1N1,HA-H1N1,0.2445284450555038
cds_nonoverlap_k3_offset2,NA-H1N1,HA-H3N2,0.20674198183709042
cds_nonoverlap_k3_offset2,NA-H1N1,NA-H1N1,0.0
cds_nonoverlap_k3_offset2,NA-H1N1,NA-H3N2,0.1993457381833483
cds_nonoverlap_k3_offset2,NA-H3N2,HA-H1N1,0.25065574212963265
cds_nonoverlap_k3_offset2,NA-H3N2,HA-H3N2,0.23516214837798727
cds_nonoverlap_k3_offset2,NA-H3N2,NA-H1N1,0.1993457381833483
cds_nonoverlap_k3_offset2,NA-H3N2,NA-H3N2,0.0
raw_nonoverlap_k3,HA-H1N1,HA-H1N1,0.0
raw_nonoverlap_k3,HA-H1N1,HA-H3N2,0.11883912089643332
raw_nonoverlap_k3,HA-H1N1,NA-H1N1,0.15050715689544508
raw_nonoverlap_k3,HA-H1N1,NA-H3N2,0.1842568710604787
raw_nonoverlap_k3,HA-H3N2,HA-H1N1,0.11883912089643332
raw_nonoverlap_k3,HA-H3N2,HA-H3N2,0.0
raw_nonoverlap_k3,HA-H3N2,NA-H1N1,0.1522076850419915
raw_nonoverlap_k3,HA-H3N2,NA-H3N2,0.1619545436023897
raw_nonoverlap_k3,NA-H1N1,HA-H1N1,0.15050715689544508
raw_nonoverlap_k3,NA-H1N1,HA-H3N2,0.1522076850419915
raw_nonoverlap_k3,NA-H1N1,NA-H1N1,0.0
raw_nonoverlap_k3,NA-H1N1,NA-H3N2,0.16197528357339838
raw_nonoverlap_k3,NA-H3N2,HA-H1N1,0.1842568710604787
raw_nonoverlap_k3,NA-H3N2,HA-H3N2,0.1619545436023897
raw_nonoverlap_k3,NA-H3N2,NA-H1N1,0.16197528357339838
raw_nonoverlap_k3,NA-H3N2,NA-H3N2,0.0
raw_nonoverlap_k4,HA-H1N1,HA-H1N1,0.0
raw_nonoverlap_k4,HA-H1N1,HA-H3N2,0.2702041580027222
raw_nonoverlap_k4,HA-H1N1,NA-H1N1,0.3395089841260041
raw_nonoverlap_k4,HA-H1N1,NA-H3N2,0.3517348814926737
raw_nonoverlap_k4,HA-H3N2,HA-H1N1,0.2702041580027222
raw_nonoverlap_k4,HA-H3N2,HA-H3N2,0.0
raw_nonoverlap_k4,HA-H3N2,NA-H1N1,0.30998961118238627
raw_nonoverlap_k4,HA-H3N2,NA-H3N2,0.3082682063732228
raw_nonoverlap_k4,NA-H1N1,HA-H1N1,0.3395089841260041
raw_nonoverlap_k4,NA-H1N1,HA-H3N2,0.30998961118238627
raw_nonoverlap_k4,NA-H1N1,NA-H1N1,0.0
raw_nonoverlap_k4,NA-H1N1,NA-H3N2,0.3453617861091004
raw_nonoverlap_k4,NA-H3N2,HA-H1N1,0.3517348814926737
raw_nonoverlap_k4,NA-H3N2,HA-H3N2,0.3082682063732228
raw_nonoverlap_k4,NA-H3N2,NA-H1N1,0.3453617861091004
raw_nonoverlap_k4,NA-H3N2,NA-H3N2,0.0
