tokenizer,protein_subtype,metric,n,mean,std,ci_lower,ci_upper,ci_width
cds_codon,HA-H1N1,token_entropy_bits,100,5.575251824840185,0.00037641929743346454,5.574611184388504,5.576024073451384,0.0014128890628803958
cds_codon,HA-H1N1,effective_vocab_size,100,47.67994582944075,0.012507853927029404,47.65878769139826,47.70543530539521,0.04664761399695294
cds_codon,HA-H1N1,cpg_token_fraction,100,0.017843087491807356,8.678401145947711e-05,0.017657914983106305,0.017998869079868928,0.00034095409676262317
cds_codon,HA-H1N1,upa_token_fraction,100,0.12732640177781682,0.00020495228310688646,0.12694183786038005,0.1277652201378156,0.0008233822774355581
cds_codon,HA-H3N2,token_entropy_bits,100,5.638759094456289,0.00030438259564836745,5.638158618787347,5.639383063646382,0.0012244448590346124
cds_codon,HA-H3N2,effective_vocab_size,100,49.824944554832335,0.010534116504581885,49.80418760778183,49.84659836058602,0.042410752804194374
cds_codon,HA-H3N2,cpg_token_fraction,100,0.02757257198966641,7.309375073871974e-05,0.027434375817375265,0.02770149901712856,0.0002671231997532948
cds_codon,HA-H3N2,upa_token_fraction,100,0.0941754185082006,0.0001290278008361223,0.09391964590049452,0.09439093593623142,0.00047129003573689876
cds_codon,NA-H1N1,token_entropy_bits,100,5.59805117094589,0.0005076826061858233,5.597093255575093,5.599165019880293,0.0020717643052003964
cds_codon,NA-H1N1,effective_vocab_size,100,48.44049434560311,0.016882905840975893,48.408618887509384,48.477484017441746,0.06886512993236238
cds_codon,NA-H1N1,cpg_token_fraction,100,0.020155807237570968,6.247152422857805e-05,0.020050580215210227,0.020292197236105293,0.00024161702089506645
cds_codon,NA-H1N1,upa_token_fraction,100,0.1094725808779458,9.402446224983577e-05,0.10931384410437932,0.10963933031937616,0.0003254862149968396
cds_codon,NA-H3N2,token_entropy_bits,100,5.661198050472717,0.00023638710809368487,5.660781194676977,5.661617481208939,0.0008362865319622159
cds_codon,NA-H3N2,effective_vocab_size,100,50.605497216984595,0.008300207290867594,50.59084435906858,50.62028200008539,0.02943764101680557
cds_codon,NA-H3N2,cpg_token_fraction,100,0.024800484031651072,4.927276346555456e-05,0.02471785095562444,0.024878945036536607,0.00016109408091216637
cds_codon,NA-H3N2,upa_token_fraction,100,0.09407092437959871,0.0001498961672755394,0.0937980296365665,0.09434281005935097,0.0005447804227844688
cds_frame_k6,HA-H1N1,token_entropy_bits,100,8.022148161887564,0.00048515544152914086,8.021313310120997,8.023118020137495,0.001804710016498845
